id,title,company,location,salary,required_skills,job_type,url,state
95,"Business Analyst, AMZL",Amazon,"Austin, TX",Unknown,"Java, R, SQL, Excel, Tableau, Python","Business Analyst",https://www.linkedin.com/company/amazon?trk=public_jobs_topcard_logo,TX
96,"Learning & Development Business Analyst","Carnival Cruise Line","Miami, FL",Unknown,"AWS, Snowflake, Power BI, SQL, Collaboration, Excel, Data Analysis, Tableau","Business Analyst",https://www.linkedin.com/company/carnival-cruise-line?trk=public_jobs_topcard_logo,FL
97,"Business Analyst (Various Levels)","HRCap, Inc.","United States",Unknown,Excel,"Business Analyst",https://www.linkedin.com/company/hrcap-inc-?trk=public_jobs_topcard_logo,US
98,"Business Analyst II (Growth)",WHOOP,"Boston, MA",Unknown,"SQL, Looker","Business Analyst",https://www.linkedin.com/company/whoop?trk=public_jobs_topcard_logo,MA
99,"Business Analyst, Amazon Merch on Demand",Amazon,"New York, United States","$66,900.00/yr - $143,100.00/yr","SQL, Excel, Tableau","Business Analyst",https://www.linkedin.com/company/amazon?trk=public_jobs_topcard_logo,US
100,"Business & Supply Chain Analyst","Carnival Cruise Line","Miami, FL",Unknown,"SQL, Excel, Power BI","Business Analyst",https://www.linkedin.com/company/carnival-cruise-line?trk=public_jobs_topcard_logo,FL
101,"Business Analyst, Market Strategy",ICE,"New York, NY",Unknown,"R, SQL, Excel, Tableau, Python","Business Analyst",https://www.linkedin.com/company/icemarkets?trk=public_jobs_topcard_logo,NY
102,"Business Analyst",Foley,"Georgia, United States",Unknown,"Azure, Looker, SQL, Excel, Tableau","Business Analyst",https://www.linkedin.com/company/foley?trk=public_jobs_topcard_logo,US
103,"Business Analyst",Genpact,"New York, United States","$120,000.00/yr - $130,000.00/yr",Excel,"Business Analyst",https://www.linkedin.com/company/genpact?trk=public_jobs_topcard_logo,US
104,"Business Analyst- Internal Operations","Leadenhall Search & Selection","New York, United States",Unknown,"Excel, Power BI","Business Analyst",https://uk.linkedin.com/company/leadenhallsearch?trk=public_jobs_topcard_logo,US
105,"Strategy Analyst I",GoFundMe,"Chicago, IL",Unknown,Looker,"Business Analyst",https://www.linkedin.com/company/gofundme?trk=public_jobs_topcard_logo,IL
106,"Business Analyst, On-Road Staffing",Amazon,"Nashville, TN",Unknown,"SQL, Excel, Tableau","Business Analyst",https://www.linkedin.com/company/amazon?trk=public_jobs_topcard_logo,TN
107,"Business Analyst with Business Transformation Exp- Remote","The Dignify Solutions, LLC","Renton, WA",Unknown,Unknown,"Business Analyst",https://www.linkedin.com/company/dignify-solutions?trk=public_jobs_topcard_logo,WA
108,"Business Analyst","Accenture Federal Services","Springfield, VA",Unknown,Collaboration,"Business Analyst",https://www.linkedin.com/company/accenturefederalservices?trk=public_jobs_topcard_logo,VA
109,"Measurement Business Analyst - North America",TikTok,"New York, United States",Unknown,"SQL, Excel, Python, Data Warehousing","Business Analyst",https://www.linkedin.com/company/tiktok?trk=public_jobs_topcard_logo,US
110,"Business Analyst",CereCore,"Nashville, TN",Unknown,Unknown,"Business Analyst",https://www.linkedin.com/company/cerecore-tech?trk=public_jobs_topcard_logo,TN
111,"Business Analyst, Amazon Warehousing & Distribution",Amazon,"Bellevue, WA",Unknown,"SQL, Excel, Tableau","Business Analyst",https://www.linkedin.com/company/amazon?trk=public_jobs_topcard_logo,WA
112,"Business Analyst","Remilia Corporation","Irvine, CA",Unknown,Tableau,"Business Analyst",https://www.linkedin.com/company/remilia-corporation?trk=public_jobs_topcard_logo,CA
113,"Business Analyst",METECS,"Houston, TX",Unknown,Excel,"Business Analyst",https://www.linkedin.com/company/metecs?trk=public_jobs_topcard_logo,TX
114,"Business Operations Analyst","Canaan Inc.","United States",Unknown,Excel,"Business Analyst",https://sg.linkedin.com/company/canaaninc?trk=public_jobs_topcard_logo,US
115,"Business Analyst, AMZL",Amazon,"Austin, TX",Unknown,"Java, R, SQL, Excel, Tableau, Python","Business Analyst",https://www.linkedin.com/company/amazon?trk=public_jobs_topcard_logo,TX
116,"Business Analyst - US",Cytora,"Utica-Rome Area",Unknown,Unknown,"Business Analyst",https://uk.linkedin.com/company/cytora?trk=public_jobs_topcard_logo,NY
117,"Business Analyst",Tradeweb,"New York, NY",Unknown,"SQL, Excel, Tableau, Python","Business Analyst",https://www.linkedin.com/company/tradeweb?trk=public_jobs_topcard_logo,NY
118,"Business Analyst","InterEx Group","New York City Metropolitan Area",Unknown,AWS,"Business Analyst",https://uk.linkedin.com/company/interex-group?trk=public_jobs_topcard_logo,NY
119,"Business Operations Analyst",PayPal,"New York, NY",Unknown,Collaboration,"Business Analyst",https://www.linkedin.com/company/paypal?trk=public_jobs_topcard_logo,NY
120,"Business Strategy Analyst",Chubb,"Philadelphia, PA",Unknown,"Excel, Tableau","Business Analyst",https://ch.linkedin.com/company/chubb?trk=public_jobs_topcard_logo,PA
121,"Business Analyst (Starlink)",SpaceX,"Redmond, WA",Unknown,"SQL, Tableau, Python, Power BI","Business Analyst",https://www.linkedin.com/company/spacex?trk=public_jobs_topcard_logo,WA
122,"Business Analyst, Creator Partnerships, YouTube",Google,"San Bruno, CA",Unknown,"Java, R, Python","Business Analyst",https://www.linkedin.com/company/google?trk=public_jobs_topcard_logo,CA
123,"Senior Business Analyst",Celerity,"Los Angeles, CA",Unknown,Unknown,"Business Analyst",https://www.linkedin.com/company/celerity-consulting-group?trk=public_jobs_topcard_logo,CA
124,"Business Analyst, Logistics Claims Management and Operations",Amazon,"Bellevue, WA",Unknown,"SQL, Excel, Tableau","Business Analyst",https://www.linkedin.com/company/amazon?trk=public_jobs_topcard_logo,WA
125,"Business Analyst","Webologix Ltd/ INC","United States",Unknown,"SQL, Excel","Business Analyst",https://uk.linkedin.com/company/webologix?trk=public_jobs_topcard_logo,US
126,"Sr. Business Analyst","CGS Federal (Contact Government Services)","Syracuse, NY","$132,288.00/yr - $191,082.67/yr",Unknown,"Business Analyst",https://www.linkedin.com/company/contact-government-services-cgs?trk=public_jobs_topcard_logo,NY
127,"Business Analyst III",PayPal,"United States","$62.96/hr - $62.96/hr","Excel, Tableau","Business Analyst",https://www.linkedin.com/company/paypal?trk=public_jobs_topcard_logo,US
128,"Business Analyst, Selling Partner Support Experience",Amazon,"Seattle, WA",Unknown,"SQL, Excel","Business Analyst",https://www.linkedin.com/company/amazon?trk=public_jobs_topcard_logo,WA
129,"Senior Business Analyst","V-Soft Consulting Group, Inc.","United States",Unknown,Unknown,"Business Analyst",https://www.linkedin.com/company/vsoftconsulting?trk=public_jobs_topcard_logo,US
130,"Business Analyst","Largeton Group","Detroit, MI",Unknown,Excel,"Business Analyst",https://www.linkedin.com/company/largeton-inc?trk=public_jobs_topcard_logo,MI
131,"Business Analyst (Junior) / Project Management Analyst","Pyramid Consulting, Inc","Mays Landing, NJ","$35.00/hr - $37.00/hr",Excel,"Business Analyst",https://www.linkedin.com/company/pyramid-consulting?trk=public_jobs_topcard_logo,NJ
132,"Business Analyst",SoTalent,"Greater Phoenix Area","$79,000.00/yr - $123,000.00/yr",Excel,"Business Analyst",https://www.linkedin.com/company/sotalentjobs?trk=public_jobs_topcard_logo,AZ
133,"Business Analyst, ATS",Amazon,"Bellevue, WA",Unknown,"AWS, Power BI, SQL, Tableau, Python","Business Analyst",https://www.linkedin.com/company/amazon?trk=public_jobs_topcard_logo,WA
134,"Business Analyst, AMZL",Amazon,"Bellevue, WA",Unknown,"Java, R, SQL, Excel, Tableau, Python","Business Analyst",https://www.linkedin.com/company/amazon?trk=public_jobs_topcard_logo,WA
135,"Senior Business Analyst (CRM)","IT Associates","Greater Chicago Area",Unknown,"SQL, Collaboration, Azure","Business Analyst",https://www.linkedin.com/company/it-associates?trk=public_jobs_topcard_logo,IL
136,"Business Process Analyst - JR Level",Dexian,"Garden City, ID","$30.00/hr - $33.00/hr",Excel,"Business Analyst",https://www.linkedin.com/company/dexiansolutions?trk=public_jobs_topcard_logo,ID
137,"Sr. Business Analyst","CGS Federal (Contact Government Services)","Wichita, KS","$132,288.00/yr - $191,082.67/yr",Unknown,"Business Analyst",https://www.linkedin.com/company/contact-government-services-cgs?trk=public_jobs_topcard_logo,KS
138,"Business Analyst","CGS Federal (Contact Government Services)","San Francisco, CA","$102,890.67/yr - $139,637.34/yr",Unknown,"Business Analyst",https://www.linkedin.com/company/contact-government-services-cgs?trk=public_jobs_topcard_logo,CA
139,"ERP Business Analyst -- Baytown TX (hybrid onsite/telework","Largeton Group","Baytown, TX",Unknown,Unknown,"Business Analyst",https://www.linkedin.com/company/largeton-inc?trk=public_jobs_topcard_logo,TX
140,"Business Analyst - Digital Transformation - Relocate to Saudi Arabia",aramco,"Houston, TX",Unknown,Unknown,"Business Analyst",https://sa.linkedin.com/company/aramco?trk=public_jobs_topcard_logo,TX
141,"Sr. Business Analyst","CGS Federal (Contact Government Services)","Miami, FL","$132,288.00/yr - $191,082.67/yr",Unknown,"Business Analyst",https://www.linkedin.com/company/contact-government-services-cgs?trk=public_jobs_topcard_logo,FL
142,"Learning & Development Business Analyst","Carnival Cruise Line","Miami, FL",Unknown,"AWS, Snowflake, Power BI, SQL, Collaboration, Excel, Data Analysis, Tableau","Business Analyst",https://www.linkedin.com/company/carnival-cruise-line?trk=public_jobs_topcard_logo,FL
143,"UiPath Business Analyst",Bayforce,"Northfield, IL",Unknown,Unknown,"Business Analyst",https://www.linkedin.com/company/bayforce?trk=public_jobs_topcard_logo,IL
144,"Senior Business Analyst, Amazon Key",Ring,"Bellevue, WA",Unknown,"SQL, Excel, Tableau","Business Analyst",https://www.linkedin.com/company/ring-labs?trk=public_jobs_topcard_logo,WA
145,"Business Analyst","HireTalent - Staffing & Recruiting Firm","United States",Unknown,Unknown,"Business Analyst",https://www.linkedin.com/company/hiretalent_?trk=public_jobs_topcard_logo,US
146,"Business Analyst",AARATECH,"Missouri, United States","$60,000.00/yr - $80,000.00/yr","Data Analysis","Business Analyst",https://www.linkedin.com/company/aaratechinc?trk=public_jobs_topcard_logo,US
